"","p0","p1","nc1","ne1","a1","m1","nc2","ne2","b2","m2","alpha","alpha1","alpha2","power","beta","nogo","En","N1","N2","ci"
"20",0.3,0.45,32,32,-4,10,5,5,1,14,0.16877,0.31231,0.36963,0.80656,0.14692,0.3199,68.8867063357859,64,74,0.9
"21",0.35,0.5,30,30,-7,11,8,8,1,16,0.18979,0.32834,0.38114,0.81732,0.1329,0.30156,67.8616746479455,60,76,0.9
"22",0.4,0.55,34,34,-4,14,4,4,1,18,0.19099,0.3273,0.38017,0.81458,0.1393,0.29821,71.9136727203761,68,76,0.9
"23",0.45,0.6,30,30,-6,14,8,8,1,20,0.18481,0.31967,0.37401,0.80904,0.14153,0.30994,67.9160328342046,60,76,0.9
"24",0.5,0.65,29,29,-6,15,9,9,1,22,0.17886,0.31352,0.36939,0.8089,0.14234,0.31876,66.9570601091297,58,76,0.9
"25",0.55,0.7,28,28,-6,16,7,7,1,22,0.18979,0.31897,0.37168,0.8081,0.14202,0.29602,62.8012833914862,56,70,0.9
"26",0.6,0.75,29,29,-4,18,5,5,1,23,0.19828,0.32653,0.37735,0.82321,0.13182,0.27946,62.7774117532149,58,68,0.9
"27",0.65,0.8,25,25,-5,17,5,5,1,22,0.19147,0.31496,0.36594,0.81179,0.14054,0.27348,54.6495313778454,50,60,0.9
"28",0.7,0.85,22,22,-3,16,6,6,1,22,0.18734,0.31034,0.36149,0.82467,0.13069,0.29104,49.7406289627883,44,56,0.9
"29",0.05,0.25,11,11,-2,1,2,2,1,2,0.11864,0.26969,0.35412,0.83627,0.1187,0.30741,23.7041878682946,22,26,0.9
"30",0.1,0.3,14,14,-3,2,2,2,1,3,0.17418,0.30281,0.37665,0.84875,0.1024,0.23864,29.6512954913883,28,32,0.9
"31",0.15,0.35,16,16,-3,3,3,3,1,5,0.12831,0.25312,0.35171,0.8139,0.13781,0.30413,34.5946819428227,32,38,0.9
"32",0.2,0.4,17,17,-4,4,3,3,1,6,0.16737,0.28492,0.37083,0.82619,0.12606,0.28108,36.6906886243714,34,40,0.9
"33",0.25,0.45,18,18,-3,5,2,2,1,7,0.18268,0.29244,0.37346,0.81739,0.13428,0.28406,37.86695327185,36,40,0.9
"34",0.3,0.5,18,18,-5,6,2,2,1,8,0.19256,0.29664,0.37448,0.81098,0.14024,0.2717,37.857051022677,36,40,0.9
"35",0.35,0.55,19,19,-3,7,5,5,1,11,0.1599,0.27062,0.36331,0.82114,0.13429,0.33634,42.9623574345906,38,48,0.9
"36",0.4,0.6,19,19,-3,8,5,5,1,12,0.1814,0.28953,0.37508,0.83391,0.12034,0.30846,42.8985966118563,38,48,0.9
"37",0.45,0.65,19,19,-3,9,4,4,1,13,0.16087,0.26504,0.35637,0.81124,0.14387,0.32355,41.8753318795354,38,46,0.9
"38",0.5,0.7,17,17,-3,9,4,4,1,13,0.16661,0.26543,0.35255,0.80115,0.14961,0.31579,37.8591924291104,34,42,0.9
"39",0.55,0.75,17,17,-3,10,4,4,1,14,0.1705,0.26967,0.35619,0.81767,0.13484,0.28982,37.6825567755828,34,42,0.9
"40",0.6,0.8,14,14,-3,9,4,4,1,13,0.17817,0.27033,0.35046,0.80624,0.14489,0.29815,31.8105049026153,28,36,0.9
"41",0.65,0.85,13,13,-3,9,4,4,1,13,0.19571,0.28609,0.35948,0.83276,0.1299,0.2976,29.946559883661,26,34,0.9
"42",0.7,0.9,12,12,-2,9,5,5,1,14,0.17136,0.26434,0.34509,0.85688,0.10705,0.29845,28.6981331372722,24,34,0.9
"43",0.05,0.3,9,9,-2,1,2,2,1,2,0.09144,0.22879,0.35114,0.85913,0.09904,0.27578,19.4688558196313,18,22,0.9
"44",0.1,0.35,12,12,-2,2,2,2,2,3,0.10283,0.17667,0.2396,0.81329,0.1405,0.23189,25.3388695124143,24,28,0.9
"45",0.15,0.4,10,10,-3,2,4,4,1,4,0.12648,0.23192,0.35304,0.83415,0.11796,0.32631,23.6223294128976,20,28,0.9
"46",0.2,0.45,12,12,-3,3,3,3,1,5,0.1425,0.24317,0.3603,0.83786,0.1174,0.29402,26.6191203189486,24,30,0.9
"47",0.25,0.5,13,13,-3,4,2,2,1,6,0.13229,0.22482,0.34531,0.81122,0.13939,0.2776,27.6395405142873,26,30,0.9
"48",0.3,0.55,12,12,-3,4,2,2,1,6,0.18523,0.27207,0.36927,0.82408,0.13558,0.31169,25.987672424535,24,28,0.9
"49",0.35,0.6,13,13,-2,5,3,3,1,8,0.14102,0.22856,0.34599,0.81607,0.1342,0.32231,28.7799910960251,26,32,0.9
"50",0.4,0.65,13,13,-4,6,2,2,1,8,0.18123,0.26588,0.3667,0.83146,0.12146,0.24266,27.6955543517862,26,30,0.9
"51",0.45,0.7,10,10,-4,5,5,5,1,9,0.15463,0.23623,0.34579,0.81443,0.13769,0.33986,24.9448740080647,20,30,0.9
"52",0.5,0.75,9,9,-4,5,5,5,1,9,0.17385,0.25228,0.35229,0.82203,0.12882,0.32567,22.9951934814453,18,28,0.9
"53",0.55,0.8,10,10,-2,6,3,3,1,9,0.19009,0.26595,0.35791,0.83439,0.1186,0.28652,22.859646908284,20,26,0.9
"54",0.6,0.85,9,9,-2,6,3,3,1,9,0.18746,0.2605,0.35034,0.83808,0.11783,0.27583,20.7797446324393,18,24,0.9
"55",0.65,0.9,8,8,-2,6,3,3,1,9,0.16889,0.23919,0.33163,0.84166,0.1155,0.25068,18.5174247234743,16,22,0.9
"56",0.7,0.95,6,6,-2,5,3,3,1,8,0.16387,0.22705,0.30961,0.84484,0.12239,0.25631,14.52105,12,18,0.9
